Temp Sensor 1,Soil Moisture 1,Soil Moisture 2,Timestamp
25.5,61.8,66.7,1717357851795
25.5,61.8,66.7,1717357854795
25.5,61.8,66.7,1717357857690
25.5,61.9,66.6,1717357860795
25.5,61.9,66.6,1717357864155
25.5,61.9,66.6,1717357867154
25.5,61.7,66.7,1717357870155
25.5,61.7,66.7,1717357873154
25.5,61.9,66.5,1717357876154
25.5,61.9,66.5,1717357879155
25.5,61.7,66.6,1717357882154
25.5,61.7,66.6,1717357885154
25.4,61.8,66.6,1717357888049
25.4,61.8,66.6,1717357891155
25.5,61.8,66.6,1717357894154
25.5,61.8,66.6,1717357897153
25.4,61.8,66.8,1717357900154
25.4,61.8,66.8,1717357903153
25.5,61.7,66.7,1717357906155
25.4,61.7,66.6,1717357909514
25.4,61.7,66.6,1717357912514
25.5,61.8,66.7,1717357915514
25.5,61.8,66.7,1717357918410
25.4,61.8,66.6,1717357921515
25.4,61.8,66.6,1717357924515
25.4,61.9,66.7,1717357927514
25.4,61.9,66.7,1717357930410
25.5,61.7,66.5,1717357933521
25.5,61.7,66.5,1717357936514
25.4,61.8,66.6,1717357939514
25.4,61.8,66.6,1717357942514
25.4,61.9,66.7,1717357945515
25.4,61.9,66.7,1717357948517
25.4,61.8,66.5,1717357951514
25.4,61.7,66.7,1717357954874
25.4,61.7,66.7,1717357957874
25.4,61.8,66.6,1717357960874
25.4,61.8,66.6,1717357963875
25.4,61.7,66.6,1717357993875
25.4,61.7,66.6,1717358023877
25.4,61.7,66.6,1717358053876
25.4,61.8,66.7,1717358083877
25.4,61.7,66.6,1717358113877
25.4,61.8,66.7,1717358143878
25.4,61.7,66.6,1717358173880
25.4,61.8,66.5,1717358203878
25.4,61.2,66.2,1717358233879
25.4,61.3,66.4,1717358263878
25.4,61.3,66.3,1717358293880
25.3,61.3,66.1,1717358323880
25.3,61.2,66.2,1717358353941
25.3,61.3,66.3,1717358383940
25.3,61.4,66.3,1717358413941
25.3,61.2,66.2,1717358443941
25.3,61.3,66.3,1717358473941
25.3,61.3,66.3,1717358503942
25.3,61.3,66.1,1717358533945
25.3,61.3,66.2,1717358563944
25.3,61.3,66.2,1717358593839
25.3,61.3,66.1,1717358623839
25.3,61.4,66.2,1717358653840
25.3,61.3,66.2,1717358683854
25.2,61.4,66.2,1717358713945
25.2,61.3,66.3,1717358743946
25.2,61.3,66.2,1717358773946
25.2,61.3,66.2,1717358803946
25.2,61.3,66.1,1717358833948
25.2,61.3,66.2,1717358863948
25.2,61.3,66.1,1717358893948
25.2,61.3,66.1,1717358923947
25.1,61.3,66.1,1717358953948
25.2,61.3,66.2,1717358983948
25.1,61.2,66.2,1717359013948
25.1,61.3,66.3,1717359043949
25.1,61.3,66.3,1717359073949
25.1,61.4,66.1,1717359103950
25.1,61.4,66.1,1717359133951
25.1,61.3,66.1,1717359164012
25.1,61.3,66.2,1717359193951
25.1,61.3,66.3,1717359223952
25.1,61.3,66.3,1717359254372
25.1,61.5,66.2,1717359285032
